Node 1,Node 2,Score Player 1,Score Player 2
510,273,104,99
510,297,288,53
510,336,104,99
510,369,104,99
510,502,100,100
510,504,500,0
510,590,104,99
510,670,100,100
510,799,500,0
510,816,104,99
510,822,100,100
510,865,100,100
510,872,288,53
510,969,500,0
510,1024,292,52
510,1025,100,100
510,1037,264,59
510,1043,500,0
510,1163,100,100
510,1307,100,100
510,1373,316,46
510,1395,104,99
510,1481,312,47
510,1482,500,0
510,1513,500,0
510,1548,500,0
510,1555,304,49
510,1591,500,0
510,1692,292,52
510,1762,320,45
510,1775,104,99
510,1812,500,0
510,1840,500,0
510,1860,104,99
510,1951,100,100
510,1994,104,99
510,1997,500,0
510,2029,100,100
510,2046,104,99
510,2057,500,0
510,2090,500,0
510,2149,104,99
510,2193,104,99
510,2248,500,0
510,2358,104,99
510,2421,288,53
510,2502,500,0
510,2524,100,100
510,2617,100,100
510,2644,104,99
510,2692,104,99
510,2713,328,43
510,2743,500,0
510,2818,104,99
510,2853,104,99
510,3016,500,0
510,3052,304,49
510,3101,100,100
510,3145,500,0
510,3177,100,100
510,3183,104,99
510,3215,100,100
510,3312,500,0
510,3341,500,0
510,3353,100,100
510,3373,500,0
510,3401,500,0
510,3426,304,49
510,3458,104,99
510,3484,500,0
510,3489,300,50
510,3498,332,42
510,3584,104,99
510,3602,104,99
510,3604,500,0
