Player 1,Player 2,Score Player 1,Score Player 2
533,2617,233,233
533,2631,254,189
533,2777,46,316
533,2843,46,341
533,2844,254,189
533,2857,55,280
533,2908,172,257
533,2936,236,221
533,2959,219,214
533,3016,408,138
533,3042,201,226
533,3063,217,217
533,3066,208,233
533,3178,412,132
533,3189,230,220
533,3192,225,220
533,3215,55,280
533,3256,47,312
533,3273,53,288
533,3274,215,240
533,3275,49,304
533,3279,46,316
533,3282,233,218
533,3315,165,255
533,3316,224,209
533,3375,280,205
533,3396,59,289
533,3402,280,205
533,3404,243,218
533,3469,45,335
533,3501,193,218
533,3520,288,203
533,3537,141,261
533,3564,239,214
533,3571,233,233
533,3603,287,192
533,3635,412,132
533,3637,250,225
533,3650,60,275
533,3660,396,156
533,3664,282,197
533,3720,145,240
533,3758,408,138
533,3876,48,323
533,3888,48,308
533,3909,276,211
533,3911,211,216
533,3963,247,247
533,3990,236,216
533,3996,240,200
533,4063,153,248
533,4126,56,291
533,4154,284,199
533,4157,228,228
533,4162,226,221
533,4206,221,216
533,4213,229,194
533,4225,221,221
533,4245,286,206
533,4252,240,235
533,4265,288,198
533,4269,282,202
533,4295,226,226
533,4318,219,244
533,4340,287,202
533,4344,46,316
533,4354,292,192
533,4368,66,251
533,4390,249,199
533,4413,238,228
533,4425,210,205
533,4501,60,275
533,4511,242,242
533,4524,210,230
533,4531,54,284
533,4575,197,257
533,4612,400,150
533,4645,232,232
533,4679,251,201
533,4695,296,181
533,4703,272,222
533,4759,172,262
533,4768,215,210
533,4799,291,186
533,4818,164,259
533,4827,226,221
533,4829,49,319
533,4851,249,179
533,4869,59,264
533,4994,167,237
533,5001,274,189
533,5016,219,214
533,5055,141,256
533,5065,408,138
533,5074,243,213
533,5089,196,221
533,5114,221,236
533,5124,242,212
533,5155,394,159
533,5171,404,144
533,5193,412,132
533,5232,388,168
533,5262,229,224
533,5302,49,304
533,5326,57,272
533,5399,124,289
533,5411,255,180
533,5427,276,216
533,5486,398,153
533,5507,256,196
533,5510,60,295
533,5529,284,209
533,5532,149,259
533,5540,188,258
533,5541,287,197
533,5560,231,231
533,5627,275,220
533,5649,236,211
533,5669,151,261
533,5720,213,223
533,5725,244,204
533,5726,402,147
533,5778,390,165
533,5821,58,283
533,5829,390,165
533,5863,57,287
533,5905,236,181
533,5935,235,230
533,5996,59,279
533,6029,223,213
533,6088,55,280
533,6130,215,250
533,6136,222,227
533,6242,283,198
533,6291,47,327
533,6321,198,253
533,6340,213,253
533,6347,207,247
536,225,197,282
536,400,366,201
536,407,230,275
536,887,33,368
536,1130,43,363
536,1177,166,301
536,1330,267,267
536,1620,178,298
536,1835,234,234
536,1882,175,295
536,1888,203,283
536,2046,366,201
536,2198,234,234
536,2390,158,313
536,2474,234,234
536,2692,225,280
536,2771,234,234
536,3120,43,363
536,3347,203,283
536,3489,234,234
536,3746,214,274
536,3788,33,368
536,3926,33,368
536,3950,267,267
536,4219,203,283
536,4388,234,234
536,4910,366,201
536,5076,267,267
536,5519,267,267
536,5537,234,234
536,5907,267,267
536,5955,366,201
536,6034,203,283
536,6044,187,302
536,6155,43,363
536,6316,234,234
536,6323,234,234
822,273,203,283
822,318,234,234
822,333,43,363
822,407,188,288
822,646,234,234
822,742,267,267
822,769,200,290
822,772,43,363
822,883,234,234
822,1025,267,267
822,1142,193,288
822,1172,161,311
822,1229,267,267
822,1267,234,234
822,1328,43,363
822,1343,33,368
822,1378,202,287
822,1505,43,363
822,1528,234,234
822,1578,234,234
822,1732,366,201
822,1736,33,368
822,1762,33,368
822,1793,366,201
822,1796,366,201
822,1818,43,363
822,1913,180,300
822,1997,234,234
822,2049,33,368
822,2212,366,201
822,2302,203,283
822,2332,203,283
822,2416,234,234
822,2545,183,298
822,2617,267,267
822,2668,366,201
822,2713,162,297
822,2823,179,289
822,2853,229,264
822,2874,267,267
822,2927,366,201
822,3080,366,201
822,3098,184,289
822,3192,267,267
822,3284,234,234
822,3314,181,291
822,3357,200,290
822,3484,267,267
822,3498,212,277
822,3561,33,368
822,3660,366,201
822,3695,202,282
822,3738,43,363
822,3778,241,271
822,3795,43,363
822,3939,33,368
822,3979,366,201
822,4038,203,283
822,4064,198,288
822,4106,234,234
822,4117,366,201
822,4326,172,307
822,4363,234,234
822,4371,234,234
822,4395,267,267
822,4415,366,201
822,4437,234,234
822,4452,203,283
822,4471,33,368
822,4483,205,285
822,4587,33,368
822,4617,267,267
822,4634,267,267
822,4900,366,201
822,4948,366,201
822,4994,214,284
822,5040,33,368
822,5091,33,368
822,5098,267,267
822,5207,203,283
822,5263,267,267
822,5265,33,368
822,5292,33,368
822,5543,171,296
822,5591,43,363
822,5713,366,201
822,5775,234,234
822,5783,219,279
822,5798,234,234
822,5866,195,290
822,5929,43,363
822,5969,199,289
822,5970,184,299
822,5977,234,234
822,6090,366,201
822,6164,366,201
822,6165,234,234
822,6168,202,287
822,6223,267,267
822,6235,236,271
822,6291,43,363
822,6298,267,267
822,6320,203,278
822,6384,43,363
890,4,267,267
890,38,99,104
890,136,300,300
890,227,133,138
890,293,115,120
890,294,267,267
890,369,300,300
890,566,300,300
890,670,267,267
890,685,230,230
890,959,99,104
890,965,300,300
890,976,163,168
890,1040,101,106
890,1285,300,300
890,1359,300,300
890,1427,300,300
890,1435,300,300
890,1513,267,267
890,1558,113,118
890,1560,124,129
890,1598,99,104
890,1668,237,237
890,1672,300,300
890,1677,99,104
890,1694,267,267
890,1733,267,267
890,1777,230,230
890,1806,118,123
890,1809,229,234
890,1821,300,300
890,1839,267,267
890,1929,233,233
890,2017,227,232
890,2357,99,104
890,2361,300,300
890,2484,300,300
890,2547,125,130
890,2617,300,300
890,2637,99,104
890,2671,300,300
890,2928,267,267
890,3119,107,112
890,3139,300,300
890,3168,300,300
890,3194,223,228
890,3344,121,126
890,3402,267,267
890,3432,99,104
890,3499,233,233
890,3504,300,300
890,3537,109,114
890,3564,208,208
890,3598,213,213
890,3692,215,215
890,3774,267,267
890,3782,300,300
890,3882,300,300
890,3977,267,267
890,4021,105,110
890,4026,267,267
890,4046,300,300
890,4061,300,300
890,4157,300,300
890,4421,213,218
890,4463,99,104
890,4496,300,300
890,4672,300,300
890,4715,101,106
890,4743,206,211
890,4756,105,110
890,4882,101,106
890,4911,267,267
890,5019,99,104
890,5125,300,300
890,5438,300,300
890,5612,300,300
890,5664,300,300
890,5724,216,221
890,5840,300,300
890,5868,300,300
890,6060,267,267
890,6062,267,267
890,6076,267,267
890,6093,267,267
890,6294,99,104
890,6296,153,158
890,6347,219,219
907,439,50,300
907,580,300,300
907,641,300,300
907,752,132,257
907,849,300,300
907,923,300,300
907,959,50,300
907,996,300,300
907,1051,283,203
907,1075,212,227
907,1406,283,203
907,1418,124,254
907,1506,300,300
907,1549,224,194
907,1576,300,300
907,1620,261,206
907,1775,300,300
907,1788,300,300
907,1929,239,209
907,2047,300,300
907,2064,300,300
907,2107,300,300
907,2198,283,203
907,2332,300,300
907,2440,300,300
907,2476,300,300
907,2524,300,300
907,2671,300,300
907,2704,300,300
907,2767,283,203
907,2856,300,300
907,2893,300,300
907,2897,159,234
907,2899,204,224
907,2968,300,300
907,3090,179,219
907,3192,300,300
907,3210,300,300
907,3256,50,300
907,3388,283,203
907,3531,300,300
907,3695,228,218
907,4129,151,236
907,4141,300,300
907,4245,283,203
907,4392,300,300
907,4512,283,203
907,4531,50,300
907,4788,300,300
907,4871,300,300
907,4975,300,300
907,4988,300,300
907,5068,300,300
907,5428,283,203
907,5674,243,233
907,5816,207,212
907,5860,223,233
907,5876,300,300
907,5939,50,300
907,5968,247,227
907,6002,300,300
907,6083,300,300
907,6155,300,300
907,6218,138,243
907,6250,300,300
1126,212,227,167
1126,497,99,104
1126,707,237,177
1126,1102,362,207
1126,1123,234,164
1126,1177,260,215
1126,1294,253,273
1126,1317,127,137
1126,1363,346,231
1126,1379,386,171
1126,1549,105,110
1126,1676,127,127
1126,1923,224,214
1126,2030,298,188
1126,2139,231,156
1126,2206,225,165
1126,2250,109,119
1126,2449,115,120
1126,2509,99,104
1126,2590,234,194
1126,2625,307,167
1126,2646,279,229
1126,2760,136,131
1126,2793,98,108
1126,3049,107,112
1126,3145,214,224
1126,3219,257,197
1126,3239,240,165
1126,3266,354,219
1126,3341,279,224
1126,3378,288,203
1126,3458,294,194
1126,3533,106,111
1126,3678,106,111
1126,3711,264,154
1126,3975,360,210
1126,4229,107,112
1126,4350,175,170
1126,4613,116,111
1126,4671,116,111
1126,4721,112,107
1126,4845,241,186
1126,4883,330,255
1126,4976,223,193
1126,4980,105,110
1126,4983,105,105
1126,4984,134,129
1126,5003,114,109
1126,5171,340,240
1126,5232,364,204
1126,5363,226,146
1126,5629,272,162
1126,5649,264,154
